season_id,division,stage,is_primary,rank,person_id,player_name,player_name_normalized,team_id,team_name,wins,losses,draws,points,kills,deaths,differential,data_status,source_urls
season_005,Liga 1,final_table,true,1,person_lauris,Lauris,lauris,season_005_shockwaving_magearnas,Shockwaving Magearnas,19,3,0,57,121,69,52,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,2,person_bene,Bene,bene,season_005_victini_bottom,Victini Bottom,16,6,0,48,115,73,37,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,3,person_present,PresentLP,present,season_005_prekani,Prekani,13,9,0,39,106,93,13,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,4,person_captaincrinch,CaptainCrinch,captaincrinch,season_005_crinchilla,Crinchilla,12,10,0,36,101,89,12,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,5,person_professor_n,Professor N,professor n,season_005_howling_commandos,Howling Commandos,12,10,0,36,105,94,11,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,6,person_glebber,glebber,glebber,season_005_energie_tobutz,Energie Tobutz,12,10,0,36,103,100,3,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,7,person_barry_d_sin_of_speed,Barry D. Sin of Speed,barry d sin of speed,season_005_marvelous_speedsters,Marvelous Speedsters,10,11,1,31,94,103,-9,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,8,person_raizor,Raizor,raizor,season_005_soulstealer,Soulstealer,9,13,0,27,97,100,-3,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,9,person_minetube,Minetube,minetube,season_005_triyolotree,Triyolotree,9,13,0,27,94,111,-17,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,10,person_parsifani,Parsifani,parsifani,season_005_aggron_successors,Aggron Successors*,8,13,1,25,94,114,-20,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,11,person_art_n_gaming,Art'n'Gaming,art n gaming,season_005_little_litleos,Little Litleos*,6,16,0,18,78,119,-41,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
season_005,Liga 1,final_table,true,12,person_fnupa,Cabgolord,fnupa,season_005_cabgosport,Cabgosport,5,17,0,15,77,118,-41,sheet_extracted,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=1708603996
