,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
54,Tentoxa,,11,4,"0,36",0,,1,0,1,0,0,0,1,0,0,,1,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
56,Fletiamo,,2,3,"1,50",,,,3,,,,,0,,,,,,,Prekani,https://www.youtube.com/user/Present
57,Sniebel,,4,3,"0,75",,2,1,,,,,,,0,,,0,,,Arktipico,https://www.youtube.com/user/Hydronic
58,Amigento-Normal,,5,3,"0,60",,,,,,,,1,0,2,,,0,0,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
59,Silvarro,,7,3,"0,43",2,,,,,,1,0,0,,0,0,,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
60,Rabigator,,9,3,"0,33",0,0,,0,0,,,,2,1,0,0,0,,,Pillar Mons,https://www.youtube.com/user/RegiBang
61,Milotic,,10,3,"0,30",,0,2,0,0,0,0,,1,,0,0,0,,,Arktipico,https://www.youtube.com/user/Hydronic
62,Lahmus,,13,3,"0,23",0,0,0,0,0,0,0,1,0,,0,1,1,0,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
63,Galagladi,,1,2,"2,00",,,,,,,2,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic
63,Moruda,,1,2,"2,00",,,,,,,2,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic
65,Masskito,,2,2,"1,00",,,,,,,,0,,,,,,2,,Arktipico,https://www.youtube.com/user/Hydronic
65,Roserade,,2,2,"1,00",,,,,,,,,1,,,,1,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
